"","user_rating_ver","size_bytes","price","price_degree","avg_rating_count_ver","rating_count_ver","sup_devices_num","cont_rating","ipad_sc_urls_num","lang_num","vpp_lic","cont_rating_degree"
"158",4,130394112,0,"Low",13,481,37,4,5,1,TRUE,"Low"
"159",4,101925888,9.99,"Normal",2.67567567567568,99,37,12,4,14,TRUE,"Middle"
"160",2,52951040,0,"Low",0.189189189189189,7,37,12,5,1,TRUE,"Middle"
"161",2,80409600,0,"Low",0.378378378378378,14,37,17,5,5,TRUE,"High"
"162",3,137312256,0,"Low",0.108108108108108,4,37,4,5,1,TRUE,"Low"
"163",2.5,144412672,74.99,"High",0.0810810810810811,3,37,4,2,21,TRUE,"Low"
"164",4.5,27746273,1.99,"Low",64.1276595744681,3014,47,9,0,1,TRUE,"Middle"
"165",0,119648256,0.99,"Low",0,0,37,4,0,3,TRUE,"Low"
"166",4,119574528,0,"Low",0.027027027027027,1,37,4,0,3,TRUE,"Low"
"167",4.5,79315968,0,"Low",0.297297297297297,11,37,4,5,13,TRUE,"Low"
"168",5,12818432,0.99,"Low",0.027027027027027,1,37,12,5,1,TRUE,"Middle"
"169",4.5,18165760,1.99,"Low",0.736842105263158,28,38,4,0,1,TRUE,"Low"
"170",3,253834240,1.99,"Low",0.225,9,40,12,0,1,TRUE,"Middle"
"171",4.5,69083136,0,"Low",3.78378378378378,140,37,9,5,17,TRUE,"Middle"
"172",4.5,8573952,0.99,"Low",1.37837837837838,51,37,9,3,1,TRUE,"Middle"
"173",5,127284224,0,"Low",91.6756756756757,3392,37,4,2,8,TRUE,"Low"
"174",4,81374398,4.99,"Low",9.48936170212766,446,47,12,0,1,TRUE,"Middle"
"175",4.5,94139392,0,"Low",82.1621621621622,3040,37,4,5,36,TRUE,"Low"
"176",4,13216994,0.99,"Low",6.09302325581395,262,43,12,0,1,TRUE,"Middle"
"177",4,21010210,0.99,"Low",11.1914893617021,526,47,4,0,1,TRUE,"Low"
"178",5,35998720,0.99,"Low",0.027027027027027,1,37,17,1,1,TRUE,"High"
"179",4.5,132510720,0,"Low",223.054054054054,8253,37,12,5,18,TRUE,"Middle"
"180",0,37001216,0,"Low",0,0,37,4,0,30,TRUE,"Low"
"181",2,64147456,0,"Low",1.56756756756757,58,37,17,5,1,FALSE,"High"
"182",5,100779008,0,"Low",1.89189189189189,70,37,17,4,1,FALSE,"High"
"183",5,123718656,1.99,"Low",5.54054054054054,205,37,4,2,8,TRUE,"Low"
"184",4.5,126312448,1.99,"Low",1.78947368421053,68,38,9,0,5,TRUE,"Middle"
"185",4.5,79882240,7.99,"Normal",0.945945945945946,35,37,4,5,21,TRUE,"Low"
"186",0,6418432,1.99,"Low",0,0,37,4,0,8,TRUE,"Low"
"187",0,74093568,0,"Low",0,0,37,4,5,1,TRUE,"Low"
"188",5,12937216,4.99,"Low",2.13513513513514,79,37,4,0,14,TRUE,"Low"
"189",2.5,53388288,0,"Low",0.702702702702703,26,37,4,5,12,TRUE,"Low"
"190",4.5,118498304,0,"Low",19.0789473684211,725,38,4,1,1,TRUE,"Low"
"191",4,103197675,0.99,"Low",6.86666666666667,309,45,9,0,1,TRUE,"Middle"
"192",0,24574976,2.99,"Low",0,0,37,4,0,1,TRUE,"Low"
"193",2.5,96093184,0,"Low",8.24324324324324,305,37,4,0,1,TRUE,"Low"
"194",3,77700096,0,"Low",1.05405405405405,39,37,4,4,1,TRUE,"Low"
"195",3,180804608,0,"Low",0.432432432432432,16,37,4,5,20,TRUE,"Low"
"196",5,56397824,0.99,"Low",1.15789473684211,44,38,4,5,2,TRUE,"Low"
"197",3.5,229272576,1.99,"Low",1.28947368421053,49,38,4,5,1,TRUE,"Low"
"198",2.5,131000320,0,"Low",0.513513513513513,19,37,17,3,45,TRUE,"High"
"199",3.5,53097472,19.99,"High",0.216216216216216,8,37,4,5,16,TRUE,"Low"
"200",0,3375104,3.99,"Low",0,0,37,4,5,3,TRUE,"Low"
"201",1.5,108166144,0,"Low",3.62162162162162,134,37,4,0,22,TRUE,"Low"
"202",4.5,89187328,1.99,"Low",7.05405405405405,261,37,4,0,10,TRUE,"Low"
"203",4,13647872,4.99,"Low",1.075,43,40,12,5,1,TRUE,"Middle"
"204",4.5,123544576,0.99,"Low",1.23684210526316,47,38,4,0,12,TRUE,"Low"
"205",5,1608704,2.99,"Low",27.2162162162162,1007,37,4,5,2,TRUE,"Low"
"206",5,50169856,0,"Low",75.5789473684211,2872,38,12,0,15,TRUE,"Middle"
"207",3.5,101181440,0.99,"Low",0.972972972972973,36,37,4,4,11,TRUE,"Low"
"208",0,15329280,0.99,"Low",0,0,37,4,4,7,TRUE,"Low"
"209",0,31845376,1.99,"Low",0,0,37,4,5,1,TRUE,"Low"
"210",4.5,135032832,0,"Low",189.918918918919,7027,37,4,0,2,TRUE,"Low"
"211",0,54648832,0,"Low",0,0,37,4,0,1,TRUE,"Low"
"212",3.5,8432232,2.99,"Low",1.61702127659574,76,47,4,0,1,TRUE,"Low"
"213",4.5,230720512,0,"Low",1.72972972972973,64,37,12,5,6,TRUE,"Middle"
"214",1.5,80211968,0,"Low",8.05405405405405,298,37,12,1,1,TRUE,"Middle"
"215",2.5,148201472,0,"Low",0.0810810810810811,3,37,4,5,2,TRUE,"Low"
"216",3.5,20795392,0,"Low",0.815789473684211,31,38,12,1,1,TRUE,"Middle"
"217",4.5,27934720,2.99,"Low",3.25581395348837,140,43,9,5,15,TRUE,"Middle"
"218",3,208309248,0,"Low",0.0526315789473684,2,38,4,5,3,TRUE,"Low"
"219",2.5,33812480,3.99,"Low",2.7027027027027,100,37,12,0,1,TRUE,"Middle"
"220",5,20298752,4.99,"Low",7.57894736842105,288,38,4,0,1,TRUE,"Low"
"221",5,101346304,3.99,"Low",4.16216216216216,154,37,4,5,9,TRUE,"Low"
"222",4,210569216,0,"Low",12.2162162162162,452,37,17,2,33,TRUE,"High"
"223",0,110198784,0,"Low",0,0,37,4,4,1,TRUE,"Low"
"224",4.5,78047232,0,"Low",1.18918918918919,44,37,12,5,1,TRUE,"Middle"
"225",2,9946112,1.99,"Low",0.157894736842105,6,38,12,0,1,TRUE,"Middle"
"226",4.5,44652544,0,"Low",12.1891891891892,451,37,9,0,1,TRUE,"Middle"
"227",4.5,30369792,2.99,"Low",2.21621621621622,82,37,9,5,1,TRUE,"Middle"
"228",4,376171520,1.99,"Low",8.10526315789474,308,38,4,0,6,TRUE,"Low"
"229",4.5,96815104,0.99,"Low",0.918918918918919,34,37,4,5,5,TRUE,"Low"
"230",4,169138176,0,"Low",9,333,37,12,5,1,TRUE,"Middle"
"231",5,364490752,9.99,"Normal",1.97674418604651,85,43,12,5,1,TRUE,"Middle"
"232",4.5,44135424,3.99,"Low",16.1891891891892,599,37,17,5,3,TRUE,"High"
"233",2.5,112074752,0,"Low",0.513513513513513,19,37,4,5,1,TRUE,"Low"
"234",2.5,98942976,0.99,"Low",1.75,70,40,4,4,1,TRUE,"Low"
"235",5,77686784,0,"Low",1.83783783783784,68,37,12,0,2,TRUE,"Middle"
"236",4.5,94496768,0,"Low",0.162162162162162,6,37,4,0,1,TRUE,"Low"
"237",0,204959744,0,"Low",0,0,38,12,0,2,TRUE,"Middle"
"238",4,32796672,4.99,"Low",12.725,509,40,17,3,5,TRUE,"High"
"239",4.5,105009152,0,"Low",16.0540540540541,594,37,4,4,7,TRUE,"Low"
"240",0,22562816,0,"Low",0,0,38,4,2,29,TRUE,"Low"
"241",4,52632576,3.99,"Low",4.62162162162162,171,37,4,3,10,TRUE,"Low"
"242",3.5,151388160,0,"Low",0.189189189189189,7,37,4,0,15,TRUE,"Low"
"243",2.5,47323136,0.99,"Low",0.605263157894737,23,38,4,1,1,TRUE,"Low"
"244",4,59846656,1.99,"Low",0.135135135135135,5,37,4,5,1,TRUE,"Low"
"245",5,27807744,0.99,"Low",0.315789473684211,12,38,12,5,5,TRUE,"Middle"
"246",5,60976128,0,"Low",1.02702702702703,38,37,12,0,1,TRUE,"Middle"
"247",2.5,194386944,0.99,"Low",8.94594594594595,331,37,4,0,6,TRUE,"Low"
"248",0,49470464,0,"Low",0,0,37,12,5,1,TRUE,"Middle"
"249",3.5,147118080,2.99,"Low",0.648648648648649,24,37,12,3,15,TRUE,"Middle"
"250",4.5,125411328,0.99,"Low",22.9,916,40,4,0,1,TRUE,"Low"
"251",4,63316992,4.99,"Low",0.210526315789474,8,38,4,5,1,TRUE,"Low"
